"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Abacus","PHB'14","150","none","adventuring gear","","","","","2 lb.","2 gp",""
"Acid","PHB'24","222","none","adventuring gear","","","","","1 lb.","25 gp","When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
"Aerenal Trinket","ERLW","134","none","adventuring gear","","","","","","","Trinkets from Aerenald8Trinket1A bronzewood ring inscribed with the Elvish word for ""hope""2A dried flower; if it's placed in water, it blooms3An ebony locket; when it's opened, an elven voice whispers ""Always""4A tiny skull carved from dark wood5A finger bone inscribed with an unknown sigil6An ivory flute which produces no sound7A small journal made from preserved leaves8A book of poetry written by undead elves"
"Alchemist's Doom","SCC","179","unknown","adventuring gear","","","","","1 lb.","","This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's doom as an improvised weapon. On a hit, the target takes 7 (2d6) fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
"Alchemist's Fire","PHB'24","222","none","adventuring gear","","","","","1 lb.","50 gp","When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 1d4 Fire damage and start burning."
"Antigravity Belt","QftIS","192","none","adventuring gear","","","","","","","Metal tubes ring the lower edge of this wide belt. It is powered by an energy cell stored in a metal case near the buckle. Placing a full energy cell in the belt gives the belt 10 charges. Activating the Belt. As a bonus action, you can expend any number of the belt's charges to activate it; the belt remains active for 1 minute per charge expended. You can use a bonus action to deactivate the belt early, but doing so doesn't recover any expended charges.When you activate the belt, and as a bonus action while it remains active, you can rise or descend vertically up to 20 feet. You remain floating in place while the property is active, and you can move yourself horizontally by being pushed or towed or by scooting yourself along a surface, such as a wall or ceiling, at half your walking speed. If you are still levitating when the belt deactivates, you fall. Replacing the Energy Cell. While the belt has charges remaining, its energy cell can't be removed. Once the belt has 0 charges, you can replace the energy cell with a new cell by using an action or a bonus action."
"Antitoxin","PHB'24","222","none","adventuring gear","","","","","","50 gp","As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour."
"Argonnessen Trinket","ERLW","134","none","adventuring gear","","","","","","","Trinkets from Argonnessend10Trinket1A pierced dragon scale on a cord2A statuette of a dragon carved from black bone3A dragon's tooth, engraved with an unknown sigil4A child's doll of a dragon, woven from leather cords5A dagger carved from a dragon's talon6A brass disk bearing the silhouette of a black dragon7A small egg-shaped piece of polished bone8A bone fragment with brass inlaid runes9A leather pouch filled with tiny draconic teeth10A single large seed that's warm to the touch"
"Assassin's Blood","DMG'24","90","none","adventuring gear, poison (ingested)","","","","","","150 gp","A creature subjected to Assassin's Blood makes a DC 10 Constitution saving throw. On a failed save, the creature takes 6 (1d12) Poison damage and has the Poisoned condition for 24 hours. On a successful save, the creature takes half as much damage only."
"Backpack","PHB'24","224","none","adventuring gear","","","","","5 lb.","2 gp","A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag."
"Ball Bearing","PHB'14","151","none","adventuring gear","","","","","0.032 oz.","0.1 cp","Most commonly found inside a bag of ball bearings."
"Ball Bearings","PHB'24","224","none","adventuring gear","","","","","2 lb.","1 gp","As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition. It takes 10 minutes to recover the Ball Bearings."
"Barrel","PHB'24","224","none","adventuring gear","","","","","70 lb.","2 gp","A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods."
"Basic Fishing Equipment","AAG","21","none","adventuring gear","","","","","","1 sp","Basic Fishing Equipment includes a pole, a line, a hook, and either a lure or some bait.Fishing is a popular pastime in Wildspace and the Astral Sea, though this activity isn't possible aboard a ship that is moving faster than its flying speed. At the end of each hour spent fishing, a character can make a DC 15 Wisdom (Survival) check. A failed check indicates no fish is caught during that hour. On a successful check, roll a d10 and consult the Fishing table to determine the catch.d10Catch1-2Tiny, inedible fish (a creature that consumes it is poisoned for 1 hour)3-5Tiny, edible fish (feeds one person)6-8Small, edible fish (feeds up to four people)9Hostile space eel (see Boo's Astral Menagerie; feeds up to twelve people)10Hostile gray scavver (see Boo's Astral Menagerie; feeds up to twenty people), some other creature of the DM's choosing, or an Tiny object of the DM's choosing"
"Basic Poison","PHB'24","227","none","adventuring gear, poison","","","","","","100 gp","As a Bonus Action, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra 1d4 Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first."
"Basket","PHB'24","224","none","adventuring gear","","","","","2 lb.","4 sp","A Basket holds up to 40 pounds within 2 cubic feet."
"Bedroll","PHB'24","224","none","adventuring gear","","","","","7 lb.","1 gp","A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Bell","PHB'24","224","none","adventuring gear","","","","","","1 gp","When rung as a Utilize action, a Bell produces a sound that can be heard up to 60 feet away."
"Biza's Breath","JttRC","70","none","adventuring gear, poison (inhaled)","","","","","","","A creature subjected to this poison must succeed on a DC 16 Constitution saving throw or become poisoned for 1 minute. The poisoned creature must use its action to make a melee attack against a randomly determined creature within its reach. If there is no other creature within its reach, the poisoned creature does nothing on its turn. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success."
"Black Ghost Orchid Seed","JttRC","212","none","adventuring gear","","","","","","","Every few years, a ghost orchid colony grows a black pod as thick as a human fist that holds three soft, black seeds. A creature that consumes one of these black seeds is affected by the spell feign death. If the creature is unaware of the pod's effects or does not wish to be affected, it can resist the effect by succeeding on a DC 16 Constitution saving throw. Otherwise, it is considered to be a willing recipient of the spell."
"Blanket","PHB'24","224","none","adventuring gear","","","","","3 lb.","5 sp","While wrapped in a blanket, you have Advantage on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Block and Tackle","PHB'24","224","none","adventuring gear","","","","","5 lb.","1 gp","A Block and Tackle allows you to hoist up to four times the weight you can normally lift."
"Book","PHB'24","224","none","adventuring gear","","","","","5 lb.","25 gp","A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence (Arcana, History, Nature, or Religion) checks you make about that topic."
"Bucket","PHB'24","224","none","adventuring gear","","","","","2 lb.","5 cp","A Bucket holds up to half a cubic foot of contents."
"Bullseye Lantern","PHB'24","226","none","adventuring gear","","","","","2 lb.","10 gp","A Bullseye Lantern burns Oil as fuel to cast Bright Light in a 60-foot Cone and Dim Light for an additional 60 feet."
"Burglar's Pack","PHB'24","224","none","adventuring gear","","","","","47½ lb.","16 gp","A Burglar's Pack contains the following items: Backpack, Ball Bearings, Bell, 10 Candles, Crowbar, Hooded Lantern, 7 flasks of Oil, 5 days of Rations, Rope, Tinderbox, and Waterskin."
"Burnt Othur Fumes","DMG'24","90","none","adventuring gear, poison (inhaled)","","","","","","500 gp","A creature subjected to Burnt Othur Fumes must succeed on a DC 13 Constitution saving throw or take 10 (3d6) Poison damage, and it must repeat the save at the start of each of its turns. On each successive failed save, the creature takes 3 (1d6) Poison damage. After three successful saves, the poison ends."
"Caltrop","PHB'14","151","none","adventuring gear","","","","","1.6 oz.","5 cp","As an action, you can spread a single bag of caltrops to cover a 5-foot-square area. Any creature that enters the area must succeed on a DC 15 Dexterity saving throw or stop moving and take 1 piercing damage. Until the creature regains at least 1 hit point, its walking speed is reduced by 10 feet. A creature moving through the area at half speed doesn't need to make the saving throw."
"Caltrops","PHB'24","224","none","adventuring gear","","","","","2 lb.","1 gp","As a Utilize action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 15 Dexterity saving throw or take 1 Piercing damage and have its Speed reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops."
"Candle","PHB'24","224","none","adventuring gear","","","","","","1 cp","For 1 hour, a lit Candle sheds Bright Light in a 5-foot radius and Dim Light for an additional 5 feet."
"Carrion Crawler Mucus","DMG'24","90","none","adventuring gear, poison (contact)","","","","","","200 gp","A creature subjected to Carrion Crawler Mucus must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 1 minute. The creature also has the Paralyzed condition while Poisoned in this way. The creature repeats the save at the end of each of its turns, ending the effect on itself on a success."
"Catapult Munition","SCC","174","unknown","adventuring gear","","","","","","","A catapult munition roughly the size and weight of a cannonball.The munition can be thrown up to 30 feet and explodes on impact. Any creature within a 15-foot-radius sphere centered on the point of impact must make a DC 14 Dexterity saving throw, taking 35 (10d6) fire damage on a failed save, or half as much damage on a successful one. In addition, each object in that area that isn't being worn or carried takes 35 (10d6) fire damage."
"Chain","PHB'24","224","none","adventuring gear","","","","","10 lb.","5 gp","As a Utilize action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Strength (Athletics) check. If the creature's legs are bound, the creature has the Restrained condition until it escapes. Escaping the Chain requires the creature to make a successful DC 18 Dexterity (Acrobatics) check as an action. Bursting the Chain requires a successful DC 20 Strength (Athletics) check as an action."
"Chalk (1 piece)","PHB'14","150","none","adventuring gear","","","","","","1 cp",""
"Chest","PHB'24","225","none","adventuring gear","","","","","25 lb.","5 gp","A Chest holds up to 12 cubic feet of contents."
"Climber's Kit","PHB'24","225","none","adventuring gear","","","","","12 lb.","25 gp","A Climber's Kit includes boot tips, gloves, pitons, and a harness. As a Utilize action, you can use the Climber's Kit to anchor yourself; when you do, you can't fall more than 25 feet from the anchor point, and you can't move more than 25 feet from there without undoing the anchor as a Bonus Action."
